"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Syndra",8.58,51.86,0.78,6.39,136382
"Varus",95.8,50.66,10.42,14.64,1828670
"Jhin",97.77,51.57,14.36,4.38,2521036
"Taliyah",10.83,53.15,0.09,0.05,15499
"Kog'Maw",87.74,51.67,1.41,0.17,247016
"Draven",96.9,50.21,4.47,7.23,784012
"Caitlyn",98.49,50.2,18.86,16.12,3309749
"Jinx",99.16,51.39,11.87,1.65,2084085
"Heimerdinger",14.46,52.07,0.35,1.19,61799
"Twitch",77.59,51,3.29,0.79,577528
"Kindred",6.14,50.01,0.13,0.36,22622
"Ezreal",96.32,49.14,25.81,7.43,4530378
"Vel'Koz",2.61,52.6,0.14,1.3,24843
"Aphelios",98.71,48.43,6.66,10.06,1168533
"Ashe",95.69,51.13,14.02,2.78,2461075
"Ziggs",24.01,52.8,0.66,0.23,115637
"Veigar",7.65,52.64,0.58,3.28,100930
"Senna",4.18,47.69,0.35,5.55,62135
"Quinn",8.2,50.07,0.23,1.96,39640
"Swain",3.33,52.75,0.17,2.19,29199
"Kalista",86.54,49.05,3.03,1.18,532126
"Sivir",98.57,50.78,4.21,0.48,738817
"Xerath",2.21,50,0.13,2.14,22555
"Tahm Kench",4.68,49.22,0.07,0.3,12118
"Kai'Sa",98.17,47.59,12.56,1.59,2205156
"Neeko",3.46,49.4,0.12,0.69,21741
"Tristana",91.35,49.24,8,2.15,1404372
"Lucian",82.24,48.24,13.82,3.38,2425193
"Twisted Fate",2.36,46.8,0.12,0.49,20961
"Viktor",4.18,49.28,0.09,0.21,15398
"Kennen",2.01,45.41,0.03,0.31,5373
"Xayah",99.19,48.47,4.58,0.64,803708
"Corki",7.96,47.79,0.17,0.31,30181
"Teemo",2.31,47.44,0.19,11.77,33631
